,date,municipality,state,highestsize,minsize,avgsize,violent_protest,curfew_protest,property_damage_protest,police_protest,countlove,wiki,ipsos
3,2020-06-01,Vancouver,Washington,10,10,10,0,0,0,0,0,1,0
4,2020-06-05,Sequim,Washington,130,130,130,0,0,0,0,0,1,0
5,2020-05-29,Hampton,Virginia,100,100,100,0,0,0,0,0,1,0
7,2020-05-30,Hammond,Indiana,100,100,100,0,0,0,0,0,1,0
8,2020-05-25,Snohomish,Washington,200,200,200,0,0,0,0,0,1,0
9,2020-05-26,AnnArbor,Michigan,20,20,20,NA,NA,NA,NA,1,0,0
10,2020-05-26,Hammond,Indiana,NA,NA,NA,NA,NA,NA,NA,1,0,0
11,2020-05-26,Houston,Texas,NA,NA,NA,NA,NA,NA,NA,1,0,0
12,2020-05-26,LosAngeles,California,NA,NA,NA,NA,NA,NA,NA,1,0,0
13,2020-05-26,Minneapolis,Minnesota,2000,2000,2000,NA,NA,NA,NA,1,1,0
14,2020-05-26,Snohomish,Washington,NA,NA,NA,0,0,0,0,0,1,0
15,2020-05-26,St.Paul,Minnesota,NA,NA,NA,NA,NA,NA,NA,1,0,0
16,2020-05-26,Ypsilanti,Michigan,NA,NA,NA,NA,NA,NA,NA,1,0,0
17,2020-05-27,AnnArbor,Michigan,100,100,100,NA,NA,NA,NA,1,0,0
18,2020-05-27,Chadron,Nebraska,20,20,20,NA,NA,NA,NA,1,0,0
19,2020-05-27,Duluth,Minnesota,100,100,100,NA,NA,NA,NA,1,0,0
20,2020-05-27,LosAngeles,California,200,200,200,NA,NA,NA,NA,1,0,0
21,2020-05-27,Memphis,Tennessee,70,40,55,0,1,0,1,1,1,0
22,2020-05-27,Minneapolis,Minnesota,8100,8100,8100,NA,NA,NA,NA,1,1,0
23,2020-05-27,Olympia,Washington,NA,NA,NA,NA,NA,NA,NA,1,0,0
24,2020-05-27,Snohomish,Washington,NA,NA,NA,0,0,0,0,0,1,0
25,2020-05-27,SouthSacramento,California,20,20,20,NA,NA,NA,NA,1,0,0
26,2020-05-27,St.Paul,Minnesota,100,100,100,NA,NA,NA,NA,1,0,0
27,2020-05-27,Willingboro,NewJersey,NA,NA,NA,NA,NA,NA,NA,1,0,0
28,2020-05-27,Ypsilanti,Michigan,NA,NA,NA,NA,NA,NA,NA,1,0,0
29,2020-05-28,Albuquerque,NewMexico,800,200,500,1,0,1,1,1,1,1
30,2020-05-28,AnnArbor,Michigan,NA,NA,NA,NA,NA,NA,NA,1,0,0
31,2020-05-28,AppleValley,Minnesota,NA,NA,NA,NA,NA,NA,NA,1,0,0
32,2020-05-28,Birmingham,Alabama,100,100,100,NA,NA,NA,NA,1,0,0
33,2020-05-28,Blaine,Minnesota,NA,NA,NA,NA,NA,NA,NA,1,0,0
34,2020-05-28,Boston,Massachusetts,20,100,60,1,0,0,1,1,1,0
